,mean,std
051500,-0.14003166091852998,0.02313617022308194
083660,0.13985116635383765,0.04759554209566143
130500,-0.10585921152863932,0.02704281152971215
083450,-0.38804918004086325,0.02461784721250378
067290,-0.03831426692350447,0.03588886278030184
024120,-0.09724102343216665,0.013774269607219223
114450,0.10084259980218081,0.0459714811629732
089230,0.08978190684785307,0.04272190343016455
032540,-0.10775758825038392,0.016066247076120355
051390,0.043636190158221906,0.028003606419175174
094480,-0.2548019779444927,0.024965134331203353
198440,0.3625271020603416,0.06396015087075457
307280,0.04694379066274637,0.003513831959004814
089600,-0.33448031105238485,0.034252380914714504
085910,-0.05191240902555905,0.014517231120895618
007390,0.06304052280846742,0.08069843201760592
031390,0.12032077520063118,0.04733779745335683
012340,-0.05464073642156823,0.031502589156277246
085670,0.019640240182897346,0.042995842656165136
078140,-0.11630483530654337,0.035622518673809236
054670,-0.08308673847088037,0.027791804206982133
023910,-0.008293222045005034,0.019417089752439994
213420,-0.17340390495748703,0.03213876091471643
206560,-0.246118853050516,0.033926557838402135
006620,-0.31115017072152173,0.03142533534376858
066900,0.0037798126047828458,0.03020480588858891
127120,-0.06563106471223362,0.04084592244282443
092070,-0.24383075352255476,0.020878987834167546
039840,-0.05982391489540148,0.022902195670187628
033130,0.0006214343793062157,0.023952370651611946
263020,-1.2985174160816808,0.0327061300290904
290550,8.809095272347134,0.19306119712918907
038390,-0.0025361315557829115,0.011747507780581895
302550,0.1431195930011296,0.056742743028273424
005990,-0.14057415964561706,0.020436874205684078
257370,-0.490786354551813,0.06569078267290207
250060,0.43801442968040827,0.032192345560461195
118990,-0.15177572413210474,0.03027891231894503
028040,-0.05547807814631653,0.05413311250154322
049950,-0.15871485178783742,0.037794335281676035
213090,-0.05086780736780729,0.026358408287051997
053030,0.009785834969525575,0.03998852823303694
008470,0.04812119439845254,0.01909566681705949
018290,0.38103219100248326,0.04088800520743842
023600,0.14115290510963485,0.02107816237174295
009300,0.0666671999391912,0.040472667803068366
042940,0.27825202013627753,0.04131253369112886
189860,0.25291229239276325,0.05824861659751278
080470,0.10999406149102826,0.047539396385530126
011560,-0.06850847579615262,0.03365563678757192
258830,-0.6264354407322255,0.04166811729908585
230980,0.15702929668674212,0.04294578770520441
253840,0.167990045773111,0.06498904047625668
236200,0.08260649472277086,0.02835892023849921
049830,0.03306829946736706,0.03873266752909425
222800,-0.15726186215535162,0.021645603185556368
217330,-1.3093933692285766,0.03988335678367203
136510,-0.19672240774815464,0.040471164202764524
047920,-0.10329375419020248,0.03765445403527366
036170,0.07870081206442658,0.06242220951190775
040910,-0.2593747788523427,0.025766174682838507
114810,-0.1818700483675898,0.024345790674716886
031310,0.26931575774150623,0.03896495535393135
119830,0.5120210888406012,0.05199849489427985
096610,0.0590487109297391,0.0482372407115739
061040,0.15550700491971323,0.024549536198797527
131100,0.36491807398135534,0.06730923634929496
196170,0.21060435514206477,0.04759526766359018
131400,0.1917256718840057,0.040967918572699304
065420,-0.08706633614980443,0.043060163181132635
095910,-0.05387723876772066,0.027594803046244308
275630,-0.8650819478953232,0.04887517305470644
112240,0.2941997257739012,0.06702484485341864
080440,0.21071611413088961,0.062046850999394686
096630,-0.0588999842506993,0.033202776760315446
098660,0.009981832586916513,0.023975533366018535
021080,0.09287411104675074,0.061153406811230195
089970,-0.32701799836854634,0.03714067689057732
036810,-0.10374001992404136,0.029664071756520565
950130,0.0032381970748217963,0.02486806906508881
205100,-0.11887078978310188,0.02488474279552981
138690,-0.015515374883100981,0.02365746326659309
097520,0.030566674732042956,0.03443757085375045
265560,-0.14625920955311825,0.027468417482596708
045060,-0.10034874380202317,0.030442578136692707
049480,-0.13478673542273453,0.03210834306136272
109080,0.08467622099784267,0.033621150354551314
153710,-0.43251971299364006,0.048550058860442856
019210,-0.15251835206448014,0.03053485527350321
082850,-0.18611250068734914,0.023565720458015915
074600,-0.1655514460408657,0.02816084341167332
014190,0.20375563078511388,0.044728899777434925
008290,0.0467448982684504,0.04066066518634037
095270,0.05924104947874982,0.032825311258532275
065950,0.08493881099088313,0.049286413809553696
114190,0.10613195655364548,0.037735863098323
036090,-0.05142869164586316,0.0452927716300315
241690,0.10409244517635778,0.02895407112949497
206650,0.09213817451078572,0.033734364124916066
084370,-0.2400989226679429,0.02755281890853552
191410,-0.17571443095038403,0.028813098957581707
215790,-0.25785540432076925,0.029393964189679347
080010,-0.02966805070710882,0.026498098463403764
047560,0.019603929654510754,0.03400748203691123
123570,0.05522212142511462,0.02831275555305821
095190,0.41552652694189895,0.04495418584198785
079950,-0.12867467956912437,0.022536857354179454
064290,-0.06056481237843121,0.03266753573940701
049550,-0.1134808687454817,0.018491737964366425
079370,-0.13726656931985592,0.021309639928499973
126880,0.2370499492400357,0.03924402884314967
094970,-0.27769516920166604,0.03843848127404352
023440,0.2667514686466987,0.06023000197141499
080220,-0.04524972376425384,0.02711201790090621
034940,0.022354738786395698,0.030735874542929618
036930,-0.2778393036245052,0.023454157406236298
119850,0.09035160108003978,0.03410558705084292
065060,-0.05649327974748063,0.04335912562387911
109820,0.3127889813954742,0.03990953145370648
004650,-0.07172841562424599,0.027239126846054888
900310,-0.20896746972382985,0.031647839641907385
042040,-0.05504692288486929,0.05002950480086128
054410,-0.08069153951096678,0.030681437447660137
009730,0.2401181266618562,0.04305464926335845
069110,0.010794658004717916,0.030382188283240977
166480,0.10331820370470021,0.05422365226292559
102940,-0.09678697249088844,0.031290763328669695
126600,-0.18165038914125164,0.021679369181230947
182360,0.2865543322022842,0.038158746554358844
045340,-0.0604814033449571,0.0319443840393672
108230,-0.437633284540278,0.04288380499057206
105550,0.0034165991063638194,0.028746396208289
026150,0.3988974170791444,0.06421747239313737
246710,-1.5246219910151784,0.03927422911115022
033540,0.13036411466748468,0.029390381075164944
037070,-0.07475028108591791,0.024326776448436904
150900,-0.14321369249975846,0.0364411911684226
065690,0.030730823851943215,0.029281778860691967
005670,0.11115320412020634,0.02405417063549031
007330,0.039416816924264436,0.01158782646110129
195440,-0.05266323589748821,0.04909453203897972
203690,0.00971596657910399,0.05085472442444357
032580,-0.0062258315325805,0.03209259254212103
024850,0.14445477708468668,0.04304815753849711
270520,0.01389096975504863,0.006154205459650689
222980,-0.014048101360960219,0.032914705623889706
063570,-0.09432026487780418,0.02748018214768008
078350,0.020848287262761025,0.031426593736858716
007770,-0.035955639944454526,0.02032272887992127
086960,-0.11192140750434564,0.020118862095674168
279410,0.015463381824147332,0.009252253825047643
076610,-0.178690562047854,0.04379227933189843
053660,-0.2789820848991009,0.05753465825869131
039610,0.5878299506861079,0.0644920025397302
204630,-0.05548132218374497,0.034427427643300944
054620,-0.20949794669817712,0.023017805221868564
035760,-0.021312778191908195,0.02611377351333502
058820,-0.08708936521658925,0.037836002605554794
065770,0.06161288692104917,0.030585990514305373
037370,0.0929754337168745,0.04057431828286913
036640,-0.15118276121514307,0.018005527466622283
046440,-0.009046646355707285,0.024924649153834296
083470,-0.32721119978107654,0.052802340232278595
122450,0.08468730050335617,0.021907371217288082
065150,0.0,0.0
024940,-0.04745617342613279,0.02320680617315365
950110,0.3856578265238213,0.032190269872518835
036120,-0.2006848553702204,0.06463989301505606
048550,-0.08109572212675117,0.027702282541478628
063440,0.23177020418757954,0.054219180493257094
192410,-0.2970869849445476,0.09035711841186406
014200,-0.121308661137228,0.033890027978668115
060480,0.2637762623079381,0.04538579851009823
187790,-0.012399081297799692,0.031920940167210005
039860,-0.10620926397291953,0.02573453180299956
091590,0.4304211311605606,0.05847777137932211
