,mean,b1
155660,-0.000689378795252764,1.4421170592877708
001250,-8.209823506589702e-05,1.6214362664828301
082740,0.003597854417803631,0.890631956183628
011070,-0.0017271681863690266,1.0424123907356118
010060,-0.00044268308707237544,1.1822170294800334
064960,-0.001968234457474559,0.28760699775525933
001740,-0.0008220088665903253,0.750364196311071
096770,-0.0003649566544568517,0.7194993043360194
011810,-0.0033179425027548798,0.2009329204269018
024070,-0.0014069046775426893,0.2298915364971443
011420,-0.0019179193310941481,0.44391165849103015
267290,-0.00020459128106218842,0.3087739665870139
012320,-0.00016539227239097736,0.7453938851376669
010130,-0.00038294547480600255,0.6283980110380281
002240,-0.0012284739862083863,0.35048902401056264
014530,4.87385779319663e-06,0.5495959728294446
013700,0.0015657202191911542,0.7028050059392452
003920,-0.0003827001193406625,0.13997028264684871
014160,0.0014509964599590916,0.7332015419579765
003220,-0.0007054055622509162,0.7974750887735436
005880,0.0002722062495640045,1.3822495518958855
023450,0.00022338663772578047,-0.0046777898221282005
000640,-0.0005004954682131884,0.6520319989238083
001520,0.0004782367557559413,0.7861365301749421
000150,0.00016747216072812663,0.5744265812095134
115390,-0.0008558712136139902,0.7399486785641995
023530,0.0004667078449870732,0.6313202753265126
027740,0.0015927098245416466,1.040715743149089
015540,0.0011154671709356844,0.7153011341222627
204210,-0.0008081620508102096,0.30667526722125826
009200,0.0008769694241923158,0.865804829284729
001270,-0.000342781904018297,0.3741946137735199
006400,0.0006148851996095564,1.4042578761948894
207940,0.0008766931263725061,0.9395562510415476
068290,0.0003369025436642084,0.7674495734237587
029780,-0.00045940864910353906,0.30726614977173666
000810,0.00012024891351425098,0.27245264953914594
000070,-0.0013920917793082605,0.5593271224329607
005680,-6.173113705835895e-05,0.6410759438432768
003720,-0.0008310476077225549,0.6462523511360942
001290,0.0012247409533937934,0.30055811263189014
007610,0.003107786610449555,1.1365962579164632
136490,-0.0010301727389687505,0.7499668308237062
091090,0.0014991565133629584,1.1686322491221615
011930,-0.0022993679948366164,1.1258639266808417
006880,-0.0007223496567510684,0.40604730327344296
019170,-0.00016388590551554802,1.301449978526957
293940,0.0009860803022866125,0.14124790604007514
055550,-0.0007986740863289246,0.6406572745110395
011090,-0.0007452776904266289,1.3378152897545212
012280,0.00010829054616751873,0.8146610563840363
105840,0.0006476181191815737,0.9381746910032922
005820,-0.0007025069899916964,0.33002023169610584
008600,-0.0003538707853544438,1.4622937988390445
033270,-0.0007170038773846092,1.24674431114742
047400,-0.000673965565769799,0.5498085753815438
088260,0.00048870855269276,0.27482905160794885
023800,0.0013858364854440397,1.1559958671060215
249420,-3.0671440711563656e-05,0.9616792052858155
271980,0.0008495453412997816,0.9730444198680717
001560,0.0003942554945729964,0.4121923443276318
002620,-0.0008887884603934407,0.7491966035197487
089590,0.00012569263411506203,0.7101351608368403
018470,-0.0006953194745845746,0.8951274504634683
002600,-0.001741453360395121,0.605365869730434
071320,-0.0008813486561716915,0.20745002403361423
088790,-0.0002615513796459746,0.5930947722222637
109070,0.0035520026662323933,1.1675442943238996
007810,-0.0034911124138509793,1.21172406200033
192820,0.0008471013456662392,1.2279541200895676
120110,-0.0015639814552353911,1.0910359643179826
138490,-0.0012266190933348342,0.7005566599392363
020120,-4.7491586618244564e-05,1.11273263459843
003240,0.00024204734605551054,0.48424653101903
004100,-0.0005176743894409042,0.8388745593025414
003670,0.002550673190013843,1.2434592249614997
033180,0.0081592162042041,1.1542155189974928
039130,-0.0012683998219108438,1.3395965156686787
006200,0.00018579690929083697,0.7695804993136224
002300,-0.0011668974801688848,0.578023533428036
009540,0.0016062679048483475,1.24285366263268
023350,0.0014592828620540342,1.5482370436062403
104700,-0.0010311278668434318,0.6330650449820343
168490,0.00013371231405210612,0.0505465344149477
060980,-0.0012967372381815013,0.52218818398388
128940,-0.0005176299134911082,0.8704527278716863
105630,-0.0008350092493539659,0.7781408829893653
009180,-0.00036505502471744243,1.0244216599645788
002220,-0.0009963862980126572,0.9177961387657149
006390,0.006300806926550733,1.2078293450657174
002320,0.0033956405938396963,0.6751026788840839
009460,0.005141598395642247,0.5524695024971604
027390,-0.00039840463230827653,1.3476499188254536
088350,-0.0019060875603865,0.62291593876293
000720,0.0025347478204917127,1.5802940268775636
267270,-0.002187043054098423,1.5938044804122902
012330,-0.0010976300742335735,0.5978430435670251
004560,-0.0006277133179987522,1.074051654055881
017800,0.004126779699572902,1.28052100833836
057050,-0.0007001123707867183,0.287990667824118
111110,-0.0012132876830377448,0.49986265235922256
008770,3.7167951731820014e-05,1.4052317391336677
298040,-0.0020899330105465103,1.3422124674485985
138930,-0.0009223549648583385,0.5688689020285522
079160,-0.0021476589690185574,0.9105504231615438
000590,-0.0006567823423713063,0.26594435476752165
114090,-0.00033946071955660417,0.726954009645074
006360,0.002225188043791359,1.1948838965719628
105560,-0.0011207674692641641,0.7240588146111868
034220,-0.0018336566810086756,0.9351922827682848
001380,-0.0003441705770033811,0.2878916461986879
034730,-0.0002244568025195794,0.9843682284651636
011790,-0.0008983047068388325,1.0171292477378184
005610,-0.0005750470291480339,0.5002250110312946
014280,-0.0010434220021728372,0.8021850262411857
002990,0.0013831369266642146,1.1268330480305313
008350,0.005376063054129865,0.6598405445242818
004270,1.4469712230164296e-05,0.8008186056285789
006370,-0.0012344197412418997,0.1663992671779557
009190,0.0013564104462786566,0.15395898724299253
047040,2.031154308484267e-06,1.1772726007576717
001070,0.00019566644383474271,0.30437012272275343
084010,-0.0018420134524899411,0.9319154783498402
001790,-0.0009226394233239975,0.3664452921588087
016090,-0.000483057561321035,0.7704554627272776
